Region,Business,Name,Status,RiskCategory,RiskSubCategory,DiscoveryDate,OccurrenceStartDate,NetLoss,RecoveryAmount,EstimatedGrossLoss
Asia Pac,Retail Banking,LE_06_364,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2009-10-01,2009-10-02,187453,37491,191700
Asia Pac,Commercial Banking,LE_06_365,In Progress,"Clients, Products and Business Practices",Product Flaws,2009-10-04,2009-10-07,148600,29720,160800
North America,Retail Banking,LE_06_366,Rejected,"Execution, Delivery and Process Management",Vendors and Suppliers,2009-10-04,2009-10-05,240559,33678,238900
Asia Pac,Retail Banking,LE_06_367,Rejected,"Execution, Delivery and Process Management",Customer/Client Account Management,2009-10-14,2009-10-15,170000,57800,178800
North America,Retail Banking,LE_06_368,Approved,External Fraud,Theft and Fraud,2009-10-14,2009-10-17,223126,53550,231700
North America,Retail Banking,LE_06_369,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2009-10-15,2009-10-18,43196,8639,55700
EMEA,Trading and Sales,LE_06_370,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2009-10-17,2009-10-18,186053,50234,192600
North America,Trading and Sales,LE_06_371,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2009-10-19,2009-10-22,1057781,401957,1073400
Asia Pac,Retail Banking,LE_06_372,Rejected,External Fraud,Theft and Fraud,2009-10-20,2009-10-23,197118,70962,210400
North America,Trading and Sales,LE_06_373,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2009-10-20,2009-10-21,899069,296693,899300
North America,Retail Banking,LE_06_374,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2009-10-27,2009-10-30,140276,29458,135500
Asia Pac,Retail Banking,LE_06_375,Under Review,External Fraud,Systems Security,2009-11-02,2009-11-05,120371,25278,113300
North America,Retail Banking,LE_06_376,In Progress,External Fraud,Theft and Fraud,2009-11-02,2009-11-03,93232,32631,92800
EMEA,Asset Management,LE_06_377,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2009-11-05,2009-11-07,183958,38631,186100
North America,Retail Banking,LE_06_378,Approved,Business Disruption and System Failures,Infrastructure and Systems,2009-11-05,2009-11-07,13665,2870,17200
EMEA,Retail Banking,LE_06_379,In Progress,Internal Fraud,Theft and Fraud,2009-11-07,2009-11-10,266970,64073,280000
EMEA,Trading and Sales,LE_06_380,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2009-11-12,2009-11-15,622359,161813,629100
EMEA,Retail Banking,LE_06_381,Approved,External Fraud,Theft and Fraud,2009-11-13,2009-11-16,52852,17441,55100
Asia Pac,Retail Banking,LE_06_382,Not Started,External Fraud,Theft and Fraud,2009-11-17,2009-11-20,157302,40898,170300
EMEA,Retail Banking,LE_06_383,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2009-11-23,2009-11-25,171029,39337,184300
North America,Retail Banking,LE_06_384,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2009-11-25,2009-11-28,175672,59729,179500
EMEA,Retail Banking,LE_06_385,Not Started,External Fraud,Theft and Fraud,2009-11-29,2009-12-01,85699,21425,84400
Asia Pac,Asset Management,LE_06_386,Under Review,"Clients, Products and Business Practices",Advisory Activities,2009-12-04,2009-12-07,675262,222837,674700
North America,Retail Banking,LE_06_387,Rejected,External Fraud,Systems Security,2009-12-05,2009-12-08,123151,48029,123800
North America,Retail Banking,LE_06_388,In Progress,External Fraud,Theft and Fraud,2009-12-06,2009-12-08,152053,45616,160300
North America,Retail Banking,LE_06_389,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2009-12-12,2009-12-13,70721,26167,82700
Asia Pac,Retail Banking,LE_06_390,Approved,External Fraud,Theft and Fraud,2009-12-23,2009-12-26,50642,19244,43500
EMEA,Retail Banking,LE_06_391,In Progress,External Fraud,Systems Security,2010-01-03,2010-01-04,168487,42122,170500
North America,Retail Banking,LE_06_392,Under Review,Damage to Physical Assets,Disaster and other events,2010-01-03,2010-01-04,259281,82970,260600
North America,Trading and Sales,LE_06_393,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-01-03,2010-01-05,866066,294463,862800
EMEA,Commercial Banking,LE_06_394,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2010-01-06,2010-01-08,192524,46206,194000
North America,Retail Banking,LE_06_395,Not Started,External Fraud,Theft and Fraud,2010-01-06,2010-01-07,177868,64033,189500
North America,Commercial Banking,LE_06_396,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-01-07,2010-01-04,10200000,3774000,10200000
North America,Commercial Banking,LE_06_397,Not Started,External Fraud,Theft and Fraud,2010-01-07,2010-01-04,3500000,700000,3500000
North America,Commercial Banking,LE_06_398,Under Review,External Fraud,Theft and Fraud,2010-01-13,2010-01-15,865971,346388,870200
North America,Commercial Banking,LE_06_399,Approved,"Clients, Products and Business Practices",Product Flaws,2010-01-18,2010-01-19,123161,28327,117500
North America,Retail Banking,LE_06_400,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-01-18,2010-01-19,140055,51820,145800
Asia Pac,Retail Banking,LE_06_401,Rejected,Internal Fraud,Unauthorized Activity,2010-01-24,2010-01-27,176447,37054,186900
EMEA,Trading and Sales,LE_06_402,In Progress,"Execution, Delivery and Process Management",Vendors and Suppliers,2010-01-27,2010-01-28,224771,71927,231200
North America,Asset Management,LE_06_403,Under Review,"Execution, Delivery and Process Management",Customer/Client Account Management,2010-01-27,2010-01-30,172251,53398,181000
North America,Retail Banking,LE_06_404,Approved,Employment Practices and Workplace Safety,Safe Environment,2010-01-29,2010-02-01,-2942,-1030,8300
EMEA,Retail Banking,LE_06_405,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2010-02-03,2010-02-06,251287,100515,260500
North America,Retail Banking,LE_06_406,Not Started,External Fraud,Theft and Fraud,2010-02-07,2010-02-04,425000,97750,500000
North America,Retail Brokerage,LE_06_407,Not Started,Employment Practices and Workplace Safety,Diversity and Discrimination,2010-02-07,2011-02-04,250000,100000,300000
Asia Pac,Retail Banking,LE_06_408,In Progress,External Fraud,Theft and Fraud,2010-02-08,2010-02-10,66141,13890,70500
EMEA,Retail Banking,LE_06_409,Under Review,External Fraud,Systems Security,2010-02-12,2010-02-14,22204,6661,26800
North America,Trading and Sales,LE_06_410,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-02-13,2010-02-16,6643,2391,19300
EMEA,Retail Banking,LE_06_411,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2010-02-16,2010-02-19,88304,30023,95500
EMEA,Retail Banking,LE_06_412,Not Started,"Clients, Products and Business Practices",Advisory Activities,2010-02-25,2010-02-28,206895,70344,215600
North America,Trading and Sales,LE_06_413,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-02-25,2010-02-28,38901,15171,48300
Asia Pac,Retail Banking,LE_06_414,Rejected,Business Disruption and System Failures,Infrastructure and Systems,2010-02-28,2010-03-01,24885,5226,31900
EMEA,Retail Banking,LE_06_415,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2010-02-28,2010-03-03,73053,20455,65800
Asia Pac,Retail Banking,LE_06_416,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-03-04,2010-03-07,1063,361,12900
EMEA,Retail Banking,LE_06_417,In Progress,External Fraud,Theft and Fraud,2010-03-06,2010-03-07,16224,5192,31700
North America,Retail Banking,LE_06_418,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2010-03-07,2010-03-08,22218,4666,29300
EMEA,Retail Banking,LE_06_419,Approved,External Fraud,Theft and Fraud,2010-03-10,2010-03-11,260900,91315,263000
EMEA,Retail Banking,LE_06_420,Not Started,Employment Practices and Workplace Safety,Employee Relations,2010-03-12,2010-03-13,143477,28695,146900
EMEA,Trading and Sales,LE_06_421,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-03-17,2010-03-20,244891,48978,254100
North America,Commercial Banking,LE_06_422,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-03-17,2010-03-18,917330,256852,913100
EMEA,Asset Management,LE_06_423,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2010-03-19,2010-03-20,829525,282039,822200
North America,Commercial Banking,LE_06_424,Not Started,External Fraud,Theft and Fraud,2010-03-19,2010-03-20,873493,349397,870000
Asia Pac,Retail Banking,LE_06_425,Rejected,External Fraud,Systems Security,2010-03-22,2010-03-23,155223,45015,167500
EMEA,Retail Banking,LE_06_426,In Progress,Damage to Physical Assets,Willful Damage,2010-03-26,2010-03-27,216330,54082,217000
EMEA,Retail Banking,LE_06_427,Under Review,External Fraud,Theft and Fraud,2010-03-27,2010-03-28,168324,40398,171900
North America,Retail Banking,LE_06_428,Approved,External Fraud,Theft and Fraud,2010-03-29,2010-04-01,241997,79859,256000
North America,Trading and Sales,LE_06_429,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-03-31,2010-04-03,922711,322949,920200
Asia Pac,Agency Services,LE_06_430,In Progress,"Execution, Delivery and Process Management",Vendors and Suppliers,2010-04-04,2010-04-06,543720,163116,545000
North America,Retail Banking,LE_06_431,Under Review,External Fraud,Theft and Fraud,2010-04-07,2010-04-10,10607,4137,7100
EMEA,Trading and Sales,LE_06_432,Approved,"Execution, Delivery and Process Management",Customer/Client Account Management,2010-04-10,2010-04-11,838866,335547,847800
Asia Pac,Retail Banking,LE_06_433,Rejected,Employment Practices and Workplace Safety,Safe Environment,2010-04-11,2010-04-14,271150,108460,276000
North America,Retail Banking,LE_06_434,Not Started,External Fraud,Systems Security,2010-04-12,2010-04-14,75050,15010,70400
North America,Retail Banking,LE_06_435,Under Review,External Fraud,Theft and Fraud,2010-04-15,2010-04-18,253493,93792,252300
Asia Pac,Trading and Sales,LE_06_436,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2010-04-25,2010-04-28,63319,25328,67500
EMEA,Commercial Banking,LE_06_437,Under Review,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2010-04-26,2010-04-29,595338,119068,610000
North America,Retail Banking,LE_06_438,Rejected,External Fraud,Theft and Fraud,2010-04-26,2010-04-29,256740,74455,265900
North America,Retail Banking,LE_06_439,In Progress,External Fraud,Theft and Fraud,2010-04-29,2010-05-01,95699,32538,106200
Asia Pac,Retail Banking,LE_06_440,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2010-05-01,2010-05-03,-322,-106,3300
North America,Commercial Banking,LE_06_441,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-05-03,2010-05-04,743481,245349,746300
Asia Pac,Retail Banking,LE_06_442,Rejected,"Execution, Delivery and Process Management",Trade Counterparties,2010-05-04,2010-05-05,57531,20711,56600
North America,Retail Banking,LE_06_443,Not Started,External Fraud,Systems Security,2010-05-07,2010-05-04,50000,18000,50000
Asia Pac,Trading and Sales,LE_06_444,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-05-13,2010-05-16,1004635,351622,1018100
North America,Retail Banking,LE_06_445,Under Review,External Fraud,Systems Security,2010-05-13,2010-05-16,213942,79158,225500
North America,Retail Banking,LE_06_446,Approved,External Fraud,Theft and Fraud,2010-05-16,2010-05-17,146511,39558,155100
EMEA,Retail Banking,LE_06_447,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2010-05-17,2010-05-20,184820,53598,187800
North America,Retail Banking,LE_06_448,Not Started,External Fraud,Theft and Fraud,2010-05-26,2010-05-29,109822,37340,104500
North America,Retail Banking,LE_06_449,In Progress,External Fraud,Theft and Fraud,2010-06-03,2010-06-06,195606,66506,188000
North America,Retail Banking,LE_06_450,Not Started,External Fraud,Theft and Fraud,2010-06-04,2010-06-04,1280000,281600,1075000
North America,Retail Banking,LE_06_451,Not Started,Internal Fraud,Theft and Fraud,2010-06-04,2007-04-04,650000,162500,700000
North America,Retail Banking,LE_06_452,Not Started,External Fraud,Theft and Fraud,2010-06-07,2010-06-04,50000,15500,50000
North America,Retail Banking,LE_06_453,Under Review,Internal Fraud,Theft and Fraud,2010-06-08,2010-06-10,95971,31670,99600
North America,Retail Banking,LE_06_454,Approved,External Fraud,Systems Security,2010-06-09,2010-06-12,107396,35441,104200
EMEA,Retail Banking,LE_06_455,Not Started,Internal Fraud,Unauthorized Activity,2010-06-12,2010-06-13,19573,7829,15600
EMEA,Retail Banking,LE_06_456,In Progress,External Fraud,Theft and Fraud,2010-06-16,2010-06-19,99453,28841,107100
Asia Pac,Retail Banking,LE_06_457,Under Review,External Fraud,Theft and Fraud,2010-06-18,2010-06-21,146405,40993,144000
EMEA,Retail Banking,LE_06_458,Approved,External Fraud,Theft and Fraud,2010-06-22,2010-06-25,184225,66321,185900
EMEA,Commercial Banking,LE_06_459,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-06-24,2010-06-27,61592,19094,79000
North America,Retail Brokerage,LE_06_460,Under Review,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2010-06-26,2010-06-29,210402,71537,215300
EMEA,Retail Banking,LE_06_461,Not Started,External Fraud,Systems Security,2010-06-27,2010-06-28,121227,43642,128000
EMEA,Retail Banking,LE_06_462,Not Started,External Fraud,Theft and Fraud,2010-06-29,2010-07-01,54857,14811,63800
EMEA,Retail Banking,LE_06_463,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-06-30,2010-07-01,271217,108487,279200
Asia Pac,Trading and Sales,LE_06_464,Rejected,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-07-01,2010-07-03,976493,234358,977200
North America,Retail Banking,LE_06_465,In Progress,External Fraud,Theft and Fraud,2010-07-03,2010-07-06,240013,81604,248500
EMEA,Retail Banking,LE_06_466,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-07-04,2010-07-07,139807,54525,149700
North America,Retail Banking,LE_06_467,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2010-07-05,2010-07-07,69116,21426,70100
North America,Retail Banking,LE_06_468,Not Started,External Fraud,Systems Security,2010-07-07,2010-07-04,1000000,400000,1000000
Asia Pac,Retail Banking,LE_06_469,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2010-07-08,2010-07-09,269622,26962,276400
EMEA,Retail Banking,LE_06_470,In Progress,"Execution, Delivery and Process Management",Customer/Client Account Management,2010-07-08,2010-07-11,194017,69846,188200
EMEA,Agency Services,LE_06_471,Under Review,"Execution, Delivery and Process Management",Transaction/Data Management,2010-07-10,2010-07-11,592945,195672,589200
EMEA,Retail Banking,LE_06_472,Approved,External Fraud,Theft and Fraud,2010-07-10,2010-07-13,120593,38590,118700
EMEA,Corporate Finance,LE_06_473,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-07-10,2010-07-13,11385646,2732555,11398000
North America,Retail Banking,LE_06_474,Not Started,Employment Practices and Workplace Safety,Employee Relations,2010-07-15,2010-07-18,271735,57064,285900
North America,Retail Banking,LE_06_475,In Progress,External Fraud,Systems Security,2010-07-15,2010-07-18,196246,41212,202800
EMEA,Retail Banking,LE_06_476,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2010-07-21,2010-07-24,85858,19747,86700
EMEA,Retail Brokerage,LE_06_477,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-07-22,2010-07-25,216383,86553,220600
Asia Pac,Retail Banking,LE_06_478,In Progress,External Fraud,Theft and Fraud,2010-07-23,2010-07-26,178936,37577,173900
EMEA,Commercial Banking,LE_06_479,Approved,External Fraud,Theft and Fraud,2010-07-24,2010-07-25,433502,143056,442200
North America,Retail Banking,LE_06_480,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2010-07-25,2010-07-26,189348,39763,204300
EMEA,Retail Banking,LE_06_481,Approved,External Fraud,Theft and Fraud,2010-07-30,2010-08-01,240463,79353,251600
North America,Retail Banking,LE_06_482,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-08-04,2010-08-07,33925,9838,44900
North America,Retail Banking,LE_06_483,Not Started,External Fraud,Theft and Fraud,2010-08-07,2010-08-04,250000,82500,250000
North America,Retail Brokerage,LE_06_484,Not Started,"Clients, Products and Business Practices",Improper Business or Market Practices,2010-08-07,2010-08-07,3000000,900000,3000000
EMEA,Retail Banking,LE_06_485,Not Started,External Fraud,Systems Security,2010-08-18,2010-08-19,253567,83677,261200
North America,Retail Banking,LE_06_486,Under Review,External Fraud,Theft and Fraud,2010-09-02,2010-09-05,95850,33548,111500
EMEA,Retail Banking,LE_06_487,Not Started,External Fraud,Theft and Fraud,2010-09-03,2010-09-05,12383,3591,19100
North America,Retail Banking,LE_06_488,Rejected,External Fraud,Theft and Fraud,2010-09-06,2010-09-09,144587,31809,145400
North America,Retail Banking,LE_06_489,Not Started,External Fraud,Theft and Fraud,2010-09-07,2010-09-04,200000,66000,200000
North America,Agency Services,LE_06_490,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-09-07,2010-09-08,423837,148343,424500
EMEA,Retail Banking,LE_06_491,Under Review,Employment Practices and Workplace Safety,Safe Environment,2010-09-09,2010-09-12,117284,35185,126200
Asia Pac,Retail Banking,LE_06_492,In Progress,External Fraud,Systems Security,2010-09-10,2010-09-11,264711,82061,269300
EMEA,Retail Banking,LE_06_493,Approved,External Fraud,Theft and Fraud,2010-09-12,2010-09-13,163717,54027,167600
North America,Retail Banking,LE_06_494,In Progress,External Fraud,Theft and Fraud,2010-09-15,2010-09-17,165619,56310,175000
North America,Retail Banking,LE_06_495,Not Started,External Fraud,Theft and Fraud,2010-09-16,2010-09-17,93296,32654,99400
North America,Retail Banking,LE_06_496,Approved,Damage to Physical Assets,Disaster and other events,2010-09-16,2010-09-19,130746,33994,131800
EMEA,Commercial Banking,LE_06_497,Under Review,External Fraud,Systems Security,2010-09-17,2010-09-18,807359,226060,821500
North America,Retail Banking,LE_06_498,Not Started,External Fraud,Theft and Fraud,2010-09-18,2010-09-21,12413,4965,15600
Asia Pac,Agency Services,LE_06_499,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-09-21,2010-09-22,673750,175175,671200
North America,Retail Banking,LE_06_500,In Progress,External Fraud,Theft and Fraud,2010-09-23,2010-09-26,139472,29289,144100
Asia Pac,Commercial Banking,LE_06_501,Under Review,External Fraud,Theft and Fraud,2010-10-07,2010-10-08,344640,137856,339700
EMEA,Retail Banking,LE_06_502,Approved,External Fraud,Systems Security,2010-10-07,2010-10-10,251470,88014,263400
North America,Commercial Banking,LE_06_503,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-10-07,2010-08-04,1000000,220000,1000000
North America,Retail Banking,LE_06_504,Not Started,Business Disruption and System Failures,Infrastructure and Systems,2010-10-07,2010-10-04,100000,28000,3000000
North America,Retail Brokerage,LE_06_505,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2010-10-07,2010-10-07,1700000,493000,1700000
Asia Pac,Retail Banking,LE_06_506,Rejected,External Fraud,Theft and Fraud,2010-10-08,2010-10-11,257340,97789,266400
EMEA,Retail Banking,LE_06_507,Not Started,External Fraud,Theft and Fraud,2010-10-09,2010-10-10,176588,37084,184700
North America,Retail Banking,LE_06_508,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-10-19,2010-10-22,45685,15076,51000
Asia Pac,Retail Banking,LE_06_509,Rejected,External Fraud,Theft and Fraud,2010-10-20,2010-10-23,256693,71874,269200
EMEA,Trading and Sales,LE_06_510,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2010-10-20,2010-10-21,1024163,256041,1025200
North America,Retail Banking,LE_06_511,Not Started,"Clients, Products and Business Practices",Improper Business or Market Practices,2010-10-23,2010-10-26,278250,86258,274500
North America,Retail Brokerage,LE_06_512,Under Review,"Clients, Products and Business Practices",Product Flaws,2010-10-28,2010-10-29,67441,15511,65300
North America,Agency Services,LE_06_513,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2010-10-29,2010-11-01,750328,195085,760300
Asia Pac,Trading and Sales,LE_06_514,Under Review,"Execution, Delivery and Process Management",Customer/Client Account Management,2010-10-31,2010-11-02,561738,146052,561800
Asia Pac,Retail Banking,LE_06_515,In Progress,External Fraud,Systems Security,2010-11-02,2010-11-05,30978,6196,32200
North America,Commercial Banking,LE_06_516,Rejected,"Clients, Products and Business Practices",Advisory Activities,2010-11-02,2010-11-03,329054,98716,338100
North America,Commercial Banking,LE_06_517,Under Review,"Execution, Delivery and Process Management",Transaction/Data Management,2010-11-03,2010-11-06,734047,161490,731700
EMEA,Retail Banking,LE_06_518,Approved,External Fraud,Theft and Fraud,2010-11-04,2010-11-07,154374,35506,160600
Asia Pac,Trading and Sales,LE_06_519,Not Started,"Clients, Products and Business Practices",Product Flaws,2010-11-06,2010-11-09,295582,85719,305500
North America,Retail Banking,LE_06_520,In Progress,External Fraud,Theft and Fraud,2010-11-14,2010-11-16,224607,51660,218600
Asia Pac,Retail Banking,LE_06_521,Rejected,"Execution, Delivery and Process Management",Customer Intake and Documentation,2010-11-15,2010-11-18,140156,46252,141600
EMEA,Retail Banking,LE_06_522,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2010-11-19,2010-11-22,77067,15413,79100
EMEA,Retail Banking,LE_06_523,Not Started,External Fraud,Theft and Fraud,2010-11-29,2010-12-01,154526,57175,153700
EMEA,Retail Banking,LE_06_524,Not Started,"Clients, Products and Business Practices",Advisory Activities,2010-12-05,2010-12-06,77505,23251,78000
Asia Pac,Trading and Sales,LE_06_525,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-12-06,2010-12-08,38620,12745,49200
North America,Retail Banking,LE_06_526,Under Review,External Fraud,Systems Security,2010-12-09,2010-12-12,180406,43298,172700
North America,Trading and Sales,LE_06_527,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2010-12-10,2010-12-13,21543,4309,31300
EMEA,Retail Brokerage,LE_06_528,Not Started,Employment Practices and Workplace Safety,Safe Environment,2010-12-15,2010-12-16,279410,55882,279000
EMEA,Retail Banking,LE_06_529,In Progress,External Fraud,Theft and Fraud,2010-12-15,2010-12-18,8947,1879,21500
North America,Trading and Sales,LE_06_530,Approved,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2010-12-16,2010-12-19,616954,135730,624300
North America,Retail Banking,LE_06_531,Under Review,External Fraud,Theft and Fraud,2010-12-17,2010-12-19,122767,24553,139500
EMEA,Retail Banking,LE_06_532,Not Started,External Fraud,Theft and Fraud,2010-12-21,2010-12-22,90595,23555,100200
EMEA,Retail Banking,LE_06_533,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2010-12-21,2010-12-24,195870,64637,206600
North America,Retail Banking,LE_06_534,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2010-12-25,2010-12-27,257003,95091,275900
Asia Pac,Retail Banking,LE_06_535,Rejected,Employment Practices and Workplace Safety,Employee Relations,2010-12-28,2010-12-29,583,216,-5300
North America,Retail Banking,LE_06_536,In Progress,External Fraud,Theft and Fraud,2011-01-02,2011-01-04,122692,36807,140400
North America,Asset Management,LE_06_537,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2011-01-03,2011-01-06,198693,39739,215800
North America,Retail Banking,LE_06_538,Approved,"Execution, Delivery and Process Management",Customer Intake and Documentation,2011-01-06,2011-01-07,267485,74896,267900
North America,Commercial Banking,LE_06_539,Not Started,External Fraud,Theft and Fraud,2011-01-07,2011-01-07,120000,43200,120000
North America,Retail Banking,LE_06_540,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2011-01-11,2011-01-12,201840,40368,213500
North America,Retail Banking,LE_06_541,In Progress,External Fraud,Theft and Fraud,2011-01-15,2011-01-17,201166,40233,202300
North America,Retail Banking,LE_06_542,Under Review,External Fraud,Systems Security,2011-01-19,2011-01-20,34711,10066,42200
North America,Retail Banking,LE_06_543,Approved,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2011-01-20,2011-01-21,64269,14782,76300
EMEA,Retail Banking,LE_06_544,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2011-01-22,2011-01-24,-4993,-1947,-7700
EMEA,Retail Banking,LE_06_545,Not Started,External Fraud,Theft and Fraud,2011-01-25,2011-01-28,27158,9777,27100
Asia Pac,Retail Banking,LE_06_546,In Progress,External Fraud,Theft and Fraud,2011-01-26,2011-01-29,105612,24291,118800
EMEA,Corporate Finance,LE_06_547,Under Review,"Clients, Products and Business Practices",Improper Business or Market Practices,2011-01-29,2011-01-31,11563942,3584822,11576400
North America,Retail Banking,LE_06_548,Approved,External Fraud,Theft and Fraud,2011-01-29,2011-02-01,147014,55865,146900
Asia Pac,Commercial Banking,LE_06_549,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2011-01-30,2011-02-01,56958,15379,59800
Asia Pac,Retail Banking,LE_06_550,In Progress,"Execution, Delivery and Process Management",Customer/Client Account Management,2011-02-05,2011-02-08,107178,38584,107600
Asia Pac,Trading and Sales,LE_06_551,Under Review,External Fraud,Systems Security,2011-02-05,2011-02-08,119181,44097,111900
North America,Retail Banking,LE_06_552,Not Started,External Fraud,Systems Security,2011-02-07,2011-02-07,1900000,627000,1600000
North America,Retail Banking,LE_06_553,Approved,"Execution, Delivery and Process Management",Transaction/Data Management,2011-02-09,2011-02-11,5176,1139,17700
North America,Retail Banking,LE_06_554,Not Started,External Fraud,Theft and Fraud,2011-02-13,2011-02-16,103492,31048,116300
EMEA,Retail Brokerage,LE_06_555,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2011-02-18,2011-02-20,129643,51857,131300
Asia Pac,Retail Banking,LE_06_556,Under Review,External Fraud,Theft and Fraud,2011-02-23,2011-02-25,149806,55428,147800
North America,Retail Banking,LE_06_557,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2011-02-25,2011-02-28,272548,76314,275800
EMEA,Retail Banking,LE_06_558,Under Review,External Fraud,Theft and Fraud,2011-03-01,2011-03-02,10227,2761,22500
North America,Retail Banking,LE_06_559,Rejected,External Fraud,Systems Security,2011-03-01,2011-03-04,92488,30521,90100
EMEA,Trading and Sales,LE_06_560,In Progress,External Fraud,Theft and Fraud,2011-03-02,2011-03-05,660811,165203,664100
North America,Retail Banking,LE_06_561,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2011-03-04,2011-03-07,244758,85665,247100
North America,Trading and Sales,LE_06_562,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2011-03-11,2011-03-12,852074,298226,847500
Asia Pac,Retail Banking,LE_06_563,Rejected,External Fraud,Theft and Fraud,2011-03-15,2011-03-16,107669,37684,110900
North America,Trading and Sales,LE_06_564,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2011-03-16,2011-03-19,516567,118811,517400
EMEA,Retail Banking,LE_06_565,Under Review,Employment Practices and Workplace Safety,Safe Environment,2011-03-27,2011-03-30,83701,24273,96000
EMEA,Retail Banking,LE_06_566,Approved,External Fraud,Theft and Fraud,2011-03-29,2011-03-31,117638,45879,117200
North America,Retail Banking,LE_06_567,Not Started,External Fraud,Systems Security,2011-03-30,2011-03-31,131914,40893,133700
Asia Pac,Retail Banking,LE_06_568,Rejected,External Fraud,Theft and Fraud,2011-04-03,2011-04-06,214454,72914,226500
EMEA,Retail Banking,LE_06_569,In Progress,External Fraud,Theft and Fraud,2011-04-06,2011-04-07,205985,82394,216000
Asia Pac,Retail Banking,LE_06_570,Under Review,External Fraud,Theft and Fraud,2011-04-07,2011-04-08,65971,20451,65300
EMEA,Retail Brokerage,z-LE-441,In Progress,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2011-04-07,2011-04-08,452728,172037,459800
